"","plot","tree","species","dbh","height","height.m","dbh.cm"
"2",2,1,"DF",390,205,20.5,39
"3",2,2,"WL",480,330,33,48
"4",3,1,"WC",150,NA,NA,15
"5",3,2,"GF",520,300,30,52
"6",3,3,"WC",310,NA,NA,31
"7",3,4,"WC",280,NA,NA,28
"8",3,5,"WC",360,207,20.7,36
"9",3,6,"WC",340,NA,NA,34
"10",3,7,"WC",260,NA,NA,26
"11",3,8,"WC",380,225,22.5,38
"12",4,1,"WC",460,180,18,46
"13",4,2,"DF",250,170,17,25
"14",4,3,"WC",400,NA,NA,40
"15",4,4,"WP",150,NA,NA,15
"16",4,5,"WC",400,NA,NA,40
"17",4,6,"WP",150,NA,NA,15
"18",4,7,"WP",330,NA,NA,33
"19",4,8,"DF",281,NA,NA,28.1
"20",4,9,"WP",299,240,24,29.9
"21",5,1,"DF",202,NA,NA,20.2
"22",5,2,"DF",549,293,29.3,54.9
"23",5,3,"DF",193,NA,NA,19.3
"24",5,4,"GF",518,290,29,51.8
"25",5,5,"DF",210,NA,NA,21
"26",5,6,"WP",155,140,14,15.5
"27",5,7,"GF",155,NA,NA,15.5
"28",5,8,"GF",205,NA,NA,20.5
"29",6,1,"DF",409,260,26,40.9
"30",6,2,"WC",290,220,22,29
"31",6,3,"WC",294,320,32,29.4
"32",6,4,"WC",685,260,26,68.5
"33",6,5,"WP",351,333,33.3,35.1
"34",6,6,"WC",630,330,33,63
"35",7,1,"WC",478,NA,NA,47.8
"36",7,2,"WC",466,275,27.5,46.6
"37",7,3,"WP",213,220,22,21.3
"38",7,4,"WC",553,300,30,55.3
"39",8,1,"GF",462,313,31.3,46.2
"40",9,1,"WC",271,270,27,27.1
"41",9,2,"GF",400,270,27,40
"42",9,3,"GF",363,280,28,36.3
"43",10,1,"DF",420,330,33,42
"44",10,2,"GF",433,NA,NA,43.3
"45",10,3,"GF",235,NA,NA,23.5
"46",10,4,"WC",375,298,29.8,37.5
"47",10,5,"WC",161,NA,NA,16.1
"48",10,6,"WC",136,NA,NA,13.6
"49",11,1,"GF",189,NA,NA,18.9
"50",11,2,"GF",226,NA,NA,22.6
"51",11,3,"GF",383,271,27.1,38.3
"52",11,4,"GF",223,215,21.5,22.3
"53",11,5,"DF",225,226,22.6,22.5
"54",12,1,"WL",218,180,18,21.8
"55",12,2,"WC",151,155,15.5,15.1
"56",12,3,"WL",116,NA,NA,11.6
"57",12,4,"WL",265,NA,NA,26.5
"58",12,5,"WC",198,NA,NA,19.8
"59",12,6,"SF",170,183,18.3,17
"60",12,7,"WC",264,NA,NA,26.4
"61",12,8,"WL",237,NA,NA,23.7
"62",12,9,"WC",257,NA,NA,25.7
"63",12,10,"WL",310,NA,NA,31
"64",13,1,"WC",230,200,20,23
"65",13,2,"WC",320,225,22.5,32
"66",13,3,"WC",525,290,29,52.5
"68",15,1,"LP",240,245,24.5,24
"69",15,2,"WP",295,220,22,29.5
"70",15,3,"WP",195,210,21,19.5
"71",15,4,"LP",230,NA,NA,23
"72",15,5,"LP",290,NA,NA,29
"73",15,6,"DF",170,NA,NA,17
"74",15,7,"LP",140,NA,NA,14
"75",15,8,"DF",220,NA,NA,22
"76",16,1,"GF",105,50,5,10.5
"77",16,2,"WC",750,320,32,75
"78",16,3,"WC",895,350,35,89.5
"79",16,4,"GF",300,250,25,30
"80",16,5,"GF",320,310,31,32
"81",16,6,"GF",295,270,27,29.5
"82",16,7,"WC",425,225,22.5,42.5
"83",16,8,"GF",135,NA,NA,13.5
"84",16,9,"GF",335,NA,NA,33.5
"85",16,10,"WC",830,350,35,83
"86",17,1,"WC",390,240,24,39
"87",18,1,"WL",250,280,28,25
"88",18,2,"SF",160,130,13,16
"89",18,3,"SF",115,205,20.5,11.5
"90",18,4,"WP",210,225,22.5,21
"91",18,5,"WL",225,260,26,22.5
"92",19,1,"WL",210,225,22.5,21
"93",19,2,"WP",115,160,16,11.5
"94",19,3,"WP",220,245,24.5,22
"95",19,4,"WP",210,NA,NA,21
"96",19,5,"WL",125,140,14,12.5
"97",19,6,"WP",225,NA,NA,22.5
"98",20,1,"GF",240,190,19,24
"99",20,2,"GF",275,230,23,27.5
"100",20,3,"DF",325,265,26.5,32.5
"101",20,4,"GF",115,80,8,11.5
"102",20,5,"WL",225,NA,NA,22.5
"103",21,1,"GF",365,315,31.5,36.5
"104",21,2,"GF",375,NA,NA,37.5
"105",21,3,"WC",165,NA,NA,16.5
"106",21,4,"DF",282,250,25,28.2
"107",21,5,"GF",198,160,16,19.8
"108",21,6,"WC",215,175,17.5,21.5
"109",21,7,"GF",363,NA,NA,36.3
"110",21,8,"GF",262,NA,NA,26.2
"111",21,9,"WP",462,375,37.5,46.2
"112",22,1,"WC",389,300,30,38.9
"113",22,2,"WL",443,375,37.5,44.3
"114",22,3,"GF",263,280,28,26.3
"115",22,4,"WC",237,NA,NA,23.7
"116",22,5,"DF",343,235,23.5,34.3
"117",22,6,"WP",400,385,38.5,40
"118",22,7,"WC",262,210,21,26.2
"119",22,8,"DF",405,220,22,40.5
"120",22,9,"WC",199,170,17,19.9
"121",23,1,"WP",410,340,34,41
"122",23,2,"WC",146,110,11,14.6
"123",23,3,"WP",427,NA,NA,42.7
"124",23,4,"HW",207,200,20,20.7
"125",23,5,"GF",398,365,36.5,39.8
"126",23,6,"WC",139,NA,NA,13.9
"127",23,7,"WC",267,NA,NA,26.7
"128",23,8,"WC",214,NA,NA,21.4
"129",23,9,"WC",145,NA,NA,14.5
"130",24,1,"WL",398,NA,NA,39.8
"131",24,2,"WC",458,NA,NA,45.8
"132",24,3,"WC",140,NA,NA,14
"133",24,4,"WL",375,NA,NA,37.5
"134",24,5,"WL",390,NA,NA,39
"135",24,6,"WL",401,375,37.5,40.1
"136",24,7,"WL",500,NA,NA,50
"137",25,1,"GF",230,130,13,23
"138",25,2,"LP",192,160,16,19.2
"139",25,3,"GF",471,NA,NA,47.1
"140",25,4,"GF",156,NA,NA,15.6
"141",25,5,"GF",135,NA,NA,13.5
"142",25,6,"WP",287,250,25,28.7
"143",26,1,"GF",371,210,21,37.1
"144",27,1,"DF",215,190,19,21.5
"145",27,2,"GF",148,150,15,14.8
"146",27,3,"GF",105,NA,NA,10.5
"147",27,4,"LP",310,250,25,31
"148",27,5,"LP",228,NA,NA,22.8
"149",27,6,"WC",686,280,28,68.6
"150",27,7,"WC",139,125,12.5,13.9
"151",27,8,"WP",159,180,18,15.9
"152",28,1,"GF",185,190,19,18.5
"153",28,2,"GF",142,160,16,14.2
"154",28,3,"WC",487,250,25,48.7
"155",28,4,"WC",649,NA,NA,64.9
"156",29,1,"GF",527,300,30,52.7
"157",29,2,"GF",322,260,26,32.2
"158",30,1,"WC",640,270,27,64
"159",30,2,"GF",585,340,34,58.5
"160",30,3,"WC",243,130,13,24.3
"161",30,4,"GF",387,NA,NA,38.7
"162",30,5,"WC",340,NA,NA,34
"163",30,6,"WC",293,NA,NA,29.3
"164",31,1,"GF",296,320,32,29.6
"165",31,2,"WC",430,290,29,43
"166",31,3,"DF",522,310,31,52.2
"167",31,4,"WC",494,NA,NA,49.4
"168",31,5,"WC",384,NA,NA,38.4
"169",31,6,"WC",469,NA,NA,46.9
"170",31,7,"WC",333,NA,NA,33.3
"171",31,8,"WC",408,NA,NA,40.8
"172",31,9,"GF",403,NA,NA,40.3
"173",31,10,"WC",426,NA,NA,42.6
"174",32,1,"WC",272,230,23,27.2
"175",32,2,"WC",340,230,23,34
"176",32,3,"WC",404,260,26,40.4
"177",32,4,"WC",610,NA,NA,61
"178",32,5,"WC",479,NA,NA,47.9
"179",33,1,"WC",111,95,9.5,11.1
"180",33,2,"WC",189,NA,NA,18.9
"181",33,3,"GF",207,250,25,20.7
"182",33,4,"WC",344,NA,NA,34.4
"183",33,5,"GF",264,NA,NA,26.4
"184",33,6,"DF",283,310,31,28.3
"185",34,1,"WL",496,230,23,49.6
"186",34,2,"WC",449,250,25,44.9
"187",34,3,"WC",130,NA,NA,13
"188",34,4,"WL",542,NA,NA,54.2
"189",34,5,"GF",425,300,30,42.5
"190",34,6,"GF",295,NA,NA,29.5
"191",34,7,"WC",270,NA,NA,27
"192",35,1,"GF",719,320,32,71.9
"193",35,2,"WC",565,275,27.5,56.5
"194",35,3,"WC",311,250,25,31.1
"195",35,4,"GF",527,NA,NA,52.7
"196",35,5,"GF",803,NA,NA,80.3
"197",35,6,"GF",666,NA,NA,66.6
"198",35,7,"GF",595,NA,NA,59.5
"199",36,1,"WC",425,270,27,42.5
"200",36,2,"GF",352,270,27,35.2
"201",36,3,"GF",421,300,30,42.1
"202",36,4,"GF",508,NA,NA,50.8
"203",37,1,"SF",143,180,18,14.3
"204",37,2,"SF",165,NA,NA,16.5
"205",37,3,"DF",140,200,20,14
"206",37,4,"ES",380,240,24,38
"207",38,1,"WP",273,190,19,27.3
"208",38,2,"WC",177,190,19,17.7
"209",38,3,"WP",235,185,18.5,23.5
"210",38,4,"WP",182,NA,NA,18.2
"211",38,5,"WP",190,NA,NA,19
"212",39,1,"WC",335,200,20,33.5
"213",39,2,"WP",180,220,22,18
"214",39,3,"WP",155,NA,NA,15.5
"215",39,4,"WC",405,220,22,40.5
"216",40,1,"WL",295,280,28,29.5
"217",40,2,"WC",690,300,30,69
"218",40,3,"WP",245,240,24,24.5
"219",40,4,"WP",295,NA,NA,29.5
"220",40,5,"WC",465,260,26,46.5
"221",41,1,"WL",425,290,29,42.5
"222",41,2,"WC",305,210,21,30.5
"223",41,3,"ES",550,320,32,55
"224",41,4,"WC",420,NA,NA,42
"225",41,5,"ES",280,NA,NA,28
"226",41,6,"WC",305,250,25,30.5
"227",41,7,"WC",378,280,28,37.8
"228",42,1,"WC",497,300,30,49.7
"229",42,2,"WC",377,280,28,37.7
"230",42,3,"DF",325,250,25,32.5
"231",42,4,"WC",262,230,23,26.2
"232",42,5,"WC",290,NA,NA,29
"233",43,1,"WC",310,260,26,31
"234",43,2,"WC",385,270,27,38.5
"235",43,3,"WC",940,360,36,94
"236",43,4,"WC",1015,390,39,101.5
"237",43,5,"WP",382,340,34,38.2
"238",43,6,"DF",350,340,34,35
"239",44,1,"WC",315,245,24.5,31.5
"240",44,2,"GF",590,312,31.2,59
"241",44,3,"WP",382,340,34,38.2
"242",43,6,"DF",350,340,34,35
"243",44,1,"WC",315,245,24.5,31.5
"244",44,2,"GF",590,312,31.2,59
"245",44,3,"WP",1120,385,38.5,112
"246",44,4,"WC",602,320,32,60.2
"247",45,1,"GF",180,220,22,18
"248",45,2,"WC",471,300,30,47.1
"249",45,3,"WC",637,285,28.5,63.7
"250",45,4,"DF",638,340,34,63.8
"251",45,5,"DF",577,NA,NA,57.7
"252",45,6,"DF",286,NA,NA,28.6
"253",46,1,"WP",465,272,27.2,46.5
"254",46,2,"WC",125,100,10,12.5
"255",46,3,"WC",155,115,11.5,15.5
"256",46,4,"WC",403,NA,NA,40.3
"257",46,5,"WP",545,280,28,54.5
"258",46,6,"WC",165,NA,NA,16.5
"259",47,1,"GF",455,315,31.5,45.5
"260",47,2,"WC",600,330,33,60
"261",48,1,"WC",200,175,17.5,20
"262",48,2,"WL",320,300,30,32
"263",48,3,"DF",420,305,30.5,42
"264",48,4,"GF",255,225,22.5,25.5
"265",48,5,"WL",315,NA,NA,31.5
"266",48,6,"WC",241,NA,NA,24.1
"267",49,1,"WL",279,150,15,27.9
"268",49,2,"SF",150,163,16.3,15
"269",49,3,"SF",107,143,14.3,10.7
"270",49,4,"SF",125,NA,NA,12.5
"271",49,5,"SF",162,NA,NA,16.2
"272",50,1,"WP",238,163,16.3,23.8
"273",50,2,"SF",191,187,18.7,19.1
"274",50,3,"SF",103,NA,NA,10.3
"275",51,1,"WC",339,NA,NA,33.9
"276",51,2,"WC",105,NA,NA,10.5
"277",51,3,"WC",528,315,31.5,52.8
"278",51,4,"WC",341,NA,NA,34.1
"279",51,5,"WC",264,NA,NA,26.4
"280",51,6,"WC",235,NA,NA,23.5
"281",51,7,"WC",487,NA,NA,48.7
"282",51,8,"WP",550,290,29,55
"283",52,1,"WC",234,180,18,23.4
"284",52,2,"GF",477,310,31,47.7
"285",52,3,"GF",613,250,25,61.3
"286",52,4,"GF",528,NA,NA,52.8
"287",53,1,"WC",377,242,24.2,37.7
"288",53,2,"DF",165,172,17.2,16.5
"289",53,3,"SF",110,150,15,11
"290",53,4,"WC",594,NA,NA,59.4
"291",53,5,"DF",117,NA,NA,11.7
"292",53,6,"WC",363,NA,NA,36.3
"293",54,1,"GF",397,253,25.3,39.7
"294",54,2,"WC",804,320,32,80.4
"295",54,3,"SF",100,110,11,10
"296",55,1,"WC",250,NA,NA,25
"297",55,2,"DF",998,420,42,99.8
"298",55,3,"GF",156,NA,NA,15.6
"299",55,4,"WP",441,348,34.8,44.1
"300",55,5,"GF",482,NA,NA,48.2
"301",55,6,"WC",456,325,32.5,45.6
"302",55,7,"GF",458,NA,NA,45.8
"303",56,1,"WC",387,270,27,38.7
"304",56,2,"WC",668,NA,NA,66.8
"305",56,3,"DF",502,370,37,50.2
"306",56,4,"GF",683,390,39,68.3
"307",56,5,"WC",418,NA,NA,41.8
"308",56,6,"WC",262,NA,NA,26.2
"309",56,7,"WC",352,NA,NA,35.2
"310",56,8,"WC",390,NA,NA,39
"311",56,9,"WC",688,NA,NA,68.8
"312",56,10,"WC",468,NA,NA,46.8
"313",56,11,"WC",571,NA,NA,57.1
"314",57,1,"GF",422,328,32.8,42.2
"315",57,2,"WC",344,257,25.7,34.4
"316",57,3,"GF",185,202,20.2,18.5
"317",57,4,"WC",601,NA,NA,60.1
"318",57,5,"HW",312,240,24,31.2
"319",58,1,"WC",543,305,30.5,54.3
"320",59,1,"GF",861,402,40.2,86.1
"321",59,2,"PP",769,400,40,76.9
"322",59,3,"WC",519,325,32.5,51.9
"323",59,4,"WC",578,NA,NA,57.8
"324",59,5,"WC",319,NA,NA,31.9
"325",59,6,"HW",176,180,18,17.6
"326",59,7,"HW",175,190,19,17.5
"327",59,8,"HW",175,180,18,17.5
"328",60,1,"WC",258,228,22.8,25.8
"329",60,2,"WC",400,211,21.1,40
"330",60,3,"WC",374,200,20,37.4
"331",60,4,"WC",390,NA,NA,39
"332",60,5,"WC",329,NA,NA,32.9
"333",60,6,"WC",145,NA,NA,14.5
"334",60,7,"WC",123,NA,NA,12.3
"335",60,8,"WC",385,NA,NA,38.5
"336",60,9,"WC",279,NA,NA,27.9
"337",60,10,"WC",230,NA,NA,23
"338",60,11,"WC",337,NA,NA,33.7
"339",60,12,"WC",343,NA,NA,34.3
"340",60,13,"WC",327,NA,NA,32.7
"341",61,1,"GF",210,NA,NA,21
"342",61,2,"GF",104,165,16.5,10.4
"343",61,3,"WP",229,215,21.5,22.9
"344",61,4,"GF",248,190,19,24.8
"345",62,1,"GF",279,NA,NA,27.9
"346",62,2,"GF",335,275,27.5,33.5
"347",62,3,"GF",255,NA,NA,25.5
"348",62,4,"WP",194,185,18.5,19.4
"349",63,1,"GF",440,NA,NA,44
"350",63,2,"GF",250,235,23.5,25
"351",63,3,"WP",271,255,25.5,27.1
"352",63,4,"WP",118,175,17.5,11.8
"353",63,5,"GF",580,NA,NA,58
"354",64,1,"WC",126,NA,NA,12.6
"355",64,2,"PP",812,NA,NA,81.2
